Type of case,Total,Blues,Blues %,Purples,Purples %,Pinks,Pinks %,Reds,Reds %,Knives,Knives %
CSGO1,46.0,35,76.09,9,19.57,2.0,4.35,0.0,0.0,0.0,0.0
CSGO2,282.0,220,78.01,49,17.38,9.0,3.19,3.0,1.06,1.0,0.35
CSGO3,201.0,159,79.1,34,16.92,7.0,3.48,1.0,0.5,0.0,0.0
BRAVO,41.0,32,78.05,7,17.07,2.0,4.88,0.0,0.0,0.0,0.0
eSport1,18.0,15,83.33,2,11.11,1.0,5.56,0.0,0.0,0.0,0.0
eSport2,472.0,368,77.97,87,18.43,10.0,2.12,5.0,1.06,2.0,0.42
eSport3,319.0,248,77.74,65,20.38,6.0,1.88,0.0,0.0,0.0,0.0
Winter,357.0,271,75.91,76,21.29,10.0,2.8,0.0,0.0,0.0,0.0
Huntsman,625.0,508,81.28,84,13.44,29.0,4.64,1.0,0.16,3.0,0.48
Phoenix,600.0,483,80.5,87,14.5,25.0,4.17,4.0,0.67,1.0,0.17
Breakout,467.0,360,77.09,81,17.34,23.0,4.93,1.0,0.21,2.0,0.43
Vanguard,422.0,338,80.09,73,17.3,9.0,2.13,2.0,0.47,0.0,0.0
Chroma,942.0,769,81.63,135,14.33,30.0,3.18,5.0,0.53,3.0,0.32
